player_name,team_abbr,PER,TS%,USG%,WS,WS/48,BPM,VORP
Mikal Bridges,NYK,14.0,0.585,19.6,5.7,0.09,-0.5,1.2
Josh Hart,NYK,16.5,0.611,15.3,9.2,0.153,2.8,3.6
Anthony Edwards,MIN,20.1,0.595,31.4,8.4,0.14,4.3,4.6
Devin Booker,PHO,19.3,0.589,29.3,6.4,0.111,0.4,1.7
James Harden,LAC,20.0,0.582,29.6,8.3,0.143,4.3,4.4
DeMar DeRozan,SAC,17.7,0.569,25.0,7.1,0.123,-0.1,1.3
Trae Young,ATL,18.3,0.567,29.6,5.7,0.1,0.5,1.7
Tyler Herro,MIA,19.7,0.605,28.0,7.4,0.131,3.1,3.5
OG Anunoby,NYK,15.4,0.591,19.7,6.5,0.116,0.7,1.9
Jalen Green,HOU,15.1,0.544,27.3,5.1,0.092,0.5,1.7
Christian Braun,DEN,16.0,0.665,15.8,8.0,0.144,0.3,1.6
Bam Adebayo,MIA,18.9,0.561,23.5,7.5,0.135,2.0,2.7
Ivica Zubac,LAC,22.3,0.641,19.5,11.7,0.215,3.1,3.4
Jayson Tatum,BOS,21.7,0.582,31.2,9.5,0.174,5.2,4.8
Jaden McDaniels,MIN,13.3,0.562,16.3,6.3,0.115,0.0,1.4
Keegan Murray,SAC,12.0,0.553,15.0,4.4,0.082,-1.6,0.2
Shai Gilgeous-Alexander,OKC,30.7,0.637,34.8,16.7,0.309,11.5,8.9
Michael Porter Jr.,DEN,16.2,0.617,20.2,6.4,0.118,-0.1,1.2
Derrick White,BOS,16.6,0.606,19.8,8.5,0.158,3.5,3.6
Dyson Daniels,ATL,15.6,0.545,18.2,5.0,0.093,1.5,2.3
Nikola Jokic,DEN,32.0,0.663,29.5,16.4,0.307,13.3,9.8
Austin Reaves,LAL,18.1,0.616,23.7,7.6,0.144,1.9,2.6
Toumani Camara,POR,12.5,0.572,14.4,5.2,0.097,-0.1,1.2
Pascal Siakam,IND,19.2,0.599,24.2,7.5,0.142,1.7,2.4
Brook Lopez,MIL,14.8,0.624,15.8,6.6,0.124,0.8,1.8
Karl-Anthony Towns,NYK,23.4,0.63,27.4,10.1,0.193,3.6,3.5
Bub Carrington,WAS,9.0,0.514,15.8,0.2,0.005,-4.6,-1.6
Cade Cunningham,DET,20.6,0.565,33.2,5.9,0.115,3.9,3.7
Tyrese Haliburton,IND,21.8,0.616,21.6,10.4,0.204,5.8,4.9
Coby White,CHI,15.5,0.601,24.4,4.5,0.088,-0.9,0.7
LeBron James,LAL,22.7,0.604,30.1,7.7,0.152,5.6,4.7
Domantas Sabonis,SAC,22.9,0.655,21.6,10.1,0.199,5.2,4.4
Jamal Murray,DEN,17.8,0.584,24.0,6.2,0.123,0.8,1.7
Alperen Sengun,HOU,21.4,0.545,26.2,8.3,0.166,4.4,3.9
Rudy Gobert,MIN,18.3,0.687,13.0,10.1,0.204,1.9,2.4
Dillon Brooks,HOU,11.0,0.555,17.7,5.1,0.103,-1.4,0.4
Tobias Harris,DET,13.9,0.571,17.6,5.2,0.108,0.1,1.2
