player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS
Shai Gilgeous-Alexander,OKC,PG,26.0,76.0,76.0,34.2,0.519,0.375,0.898,5.0,6.4,1.7,1.0,2.4,32.7
Giannis Antetokounmpo,MIL,PF,30.0,67.0,67.0,34.2,0.601,0.222,0.617,11.9,6.5,0.9,1.2,3.1,30.4
Nikola Jokic,DEN,C,29.0,70.0,70.0,36.7,0.576,0.417,0.8,12.7,10.2,1.8,0.6,3.3,29.6
Anthony Edwards,MIN,SG,23.0,79.0,79.0,36.3,0.447,0.395,0.837,5.7,4.5,1.2,0.6,3.2,27.6
Jayson Tatum,BOS,PF,26.0,72.0,72.0,36.4,0.452,0.343,0.814,8.7,6.0,1.1,0.5,2.9,26.8
Kevin Durant,PHO,PF,36.0,62.0,62.0,36.5,0.527,0.43,0.839,6.0,4.2,0.8,1.2,3.1,26.6
Tyrese Maxey,PHI,PG,24.0,52.0,52.0,37.7,0.437,0.337,0.879,3.3,6.1,1.8,0.4,2.4,26.3
Cade Cunningham,DET,PG,23.0,70.0,70.0,35.0,0.469,0.356,0.846,6.1,9.1,1.0,0.8,4.4,26.1
Jalen Brunson,NYK,PG,28.0,65.0,65.0,35.4,0.488,0.383,0.821,2.9,7.3,0.9,0.1,2.5,26.0
Paolo Banchero,ORL,PF,22.0,46.0,46.0,34.4,0.452,0.32,0.727,7.5,4.8,0.8,0.6,3.0,25.9
Devin Booker,PHO,SG,28.0,75.0,75.0,37.3,0.461,0.332,0.894,4.1,7.1,0.9,0.2,2.9,25.6
LaMelo Ball,CHO,PG,23.0,47.0,47.0,32.0,0.405,0.339,0.843,4.9,7.4,1.1,0.3,3.6,25.2
Damian Lillard,MIL,PG,34.0,58.0,58.0,36.1,0.448,0.376,0.921,4.7,7.1,1.2,0.2,2.8,24.9
Kyrie Irving,DAL,SG,32.0,50.0,50.0,36.1,0.473,0.401,0.916,4.8,4.6,1.3,0.5,2.2,24.7
Zion Williamson,NOP,PF,24.0,30.0,30.0,28.6,0.567,0.231,0.656,7.2,5.3,1.2,0.9,3.0,24.6
Stephen Curry,GSW,PG,36.0,70.0,70.0,32.2,0.448,0.397,0.933,4.4,6.0,1.1,0.4,2.9,24.5
LeBron James,LAL,SF,40.0,70.0,70.0,34.9,0.513,0.376,0.782,7.8,8.2,1.0,0.6,3.7,24.4
Karl-Anthony Towns,NYK,C,29.0,72.0,72.0,35.0,0.526,0.42,0.829,12.8,3.1,1.0,0.7,2.7,24.4
Victor Wembanyama,SAS,C,21.0,46.0,46.0,33.2,0.476,0.352,0.836,11.0,3.7,1.1,3.8,3.2,24.3
Franz Wagner,ORL,SF,23.0,60.0,60.0,33.7,0.463,0.295,0.871,5.7,4.7,1.3,0.4,2.3,24.2
Trae Young,ATL,PG,26.0,76.0,76.0,36.0,0.411,0.34,0.875,3.1,11.6,1.2,0.2,4.7,24.2
Donovan Mitchell,CLE,SG,28.0,71.0,71.0,31.4,0.443,0.368,0.823,4.5,5.0,1.3,0.2,2.1,24.0
Cam Thomas,BRK,SG,23.0,25.0,23.0,31.2,0.438,0.349,0.881,3.3,3.8,0.6,0.1,2.5,24.0
Tyler Herro,MIA,SG,25.0,77.0,77.0,35.4,0.472,0.375,0.878,5.2,5.5,0.9,0.2,2.6,23.9
Joel Embiid,PHI,C,30.0,19.0,19.0,30.2,0.444,0.299,0.882,8.2,4.5,0.7,0.9,3.3,23.8
Ja Morant,MEM,PG,25.0,50.0,50.0,30.4,0.454,0.309,0.824,4.1,7.3,1.2,0.2,3.7,23.2
James Harden,LAC,PG,35.0,79.0,79.0,35.3,0.41,0.352,0.874,5.8,8.7,1.5,0.7,4.3,22.8
Jaylen Brown,BOS,SF,28.0,63.0,63.0,34.3,0.463,0.324,0.764,5.8,4.5,1.2,0.3,2.6,22.2
DeMar DeRozan,SAC,SF,35.0,77.0,77.0,35.9,0.477,0.328,0.857,3.9,4.4,0.8,0.4,1.4,22.2
Brandon Ingram,NOP,SF,27.0,18.0,18.0,33.1,0.465,0.374,0.855,5.6,5.2,0.9,0.6,3.8,22.2
Jaren Jackson Jr.,MEM,C,25.0,74.0,74.0,29.8,0.488,0.375,0.781,5.6,2.0,1.2,1.5,2.1,22.2
Norman Powell,LAC,SG,31.0,60.0,60.0,32.6,0.484,0.418,0.804,3.2,2.1,1.2,0.2,1.8,21.8
Jalen Williams,OKC,SG,23.0,69.0,69.0,32.4,0.484,0.365,0.789,5.3,5.1,1.6,0.7,2.2,21.6
Kawhi Leonard,LAC,SF,33.0,37.0,37.0,31.9,0.498,0.411,0.81,5.9,3.1,1.6,0.5,1.9,21.5
Jamal Murray,DEN,PG,27.0,67.0,67.0,36.1,0.474,0.393,0.886,3.9,6.0,1.4,0.5,2.1,21.4
Trey Murphy III,NOP,SF,24.0,53.0,51.0,35.0,0.454,0.361,0.887,5.1,3.5,1.1,0.7,1.9,21.2
RJ Barrett,TOR,SF,24.0,58.0,58.0,32.2,0.468,0.35,0.63,6.3,5.4,0.8,0.3,2.8,21.1
CJ McCollum,NOP,PG,33.0,56.0,56.0,32.7,0.444,0.373,0.717,3.8,4.1,0.8,0.4,1.9,21.1
Jalen Green,HOU,SG,22.0,82.0,82.0,32.9,0.423,0.354,0.813,4.6,3.4,0.9,0.3,2.5,21.0
Brandon Miller,CHO,SF,22.0,27.0,27.0,34.2,0.403,0.355,0.861,4.9,3.6,1.1,0.7,2.8,21.0
Darius Garland,CLE,PG,25.0,75.0,75.0,30.7,0.472,0.401,0.878,2.9,6.7,1.2,0.1,2.5,20.6
Jordan Poole,WAS,SG,25.0,68.0,68.0,29.4,0.432,0.378,0.883,3.0,4.5,1.3,0.4,3.0,20.5
