player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,USG%,WS,WS/48,BPM,VORP,salary,team_name,wins,losses,Win_PCT,home_record,road_record,conference,overall_rank,ws_per_million
Shai Gilgeous-Alexander,OKC,PG,26.0,76.0,76.0,34.2,0.519,0.375,0.898,5.0,6.4,1.7,1.0,2.4,32.7,30.7,0.637,34.8,16.7,0.309,11.5,8.9,35859950,Oklahoma City Thunder,68,14,0.829,35-6,32-8,West,1,0.4657005935591098
Giannis Antetokounmpo,MIL,PF,30.0,67.0,67.0,34.2,0.601,0.222,0.617,11.9,6.5,0.9,1.2,3.1,30.4,30.5,0.625,35.2,11.5,0.241,9.5,6.6,48787676,Milwaukee Bucks,48,34,0.585,27-14,20-20,East,11,0.2357152654699109
Nikola Jokic,DEN,C,29.0,70.0,70.0,36.7,0.576,0.417,0.8,12.7,10.2,1.8,0.6,3.3,29.6,32.0,0.663,29.5,16.4,0.307,13.3,9.8,51415938,Denver Nuggets,50,32,0.61,26-15,24-17,West,6,0.31896724319217906
Anthony Edwards,MIN,SG,23.0,79.0,79.0,36.3,0.447,0.395,0.837,5.7,4.5,1.2,0.6,3.2,27.6,20.1,0.595,31.4,8.4,0.14,4.3,4.6,42176400,Minnesota Timberwolves,49,33,0.598,25-16,24-17,West,10,0.19916351324437365
Jayson Tatum,BOS,PF,26.0,72.0,72.0,36.4,0.452,0.343,0.814,8.7,6.0,1.1,0.5,2.9,26.8,21.7,0.582,31.2,9.5,0.174,5.2,4.8,34848340,Boston Celtics,61,21,0.744,28-13,33-8,East,3,0.27260982876085343
Kevin Durant,PHO,PF,36.0,62.0,62.0,36.5,0.527,0.43,0.839,6.0,4.2,0.8,1.2,3.1,26.6,21.2,0.642,28.7,5.2,0.111,3.2,3.0,51179021,Phoenix Suns,36,46,0.439,24-17,12-29,West,21,0.10160413189615332
Tyrese Maxey,PHI,PG,24.0,52.0,52.0,37.7,0.437,0.337,0.879,3.3,6.1,1.8,0.4,2.4,26.3,19.5,0.562,29.8,3.8,0.094,2.0,2.0,35147000,Philadelphia 76ers,24,58,0.293,12-29,12-29,East,26,0.10811733576123139
Cade Cunningham,DET,PG,23.0,70.0,70.0,35.0,0.469,0.356,0.846,6.1,9.1,1.0,0.8,4.4,26.1,20.6,0.565,33.2,5.9,0.115,3.9,3.7,13940658,Detroit Pistons,44,38,0.537,22-19,22-19,East,14,0.42322249064570694
Jalen Brunson,NYK,PG,28.0,65.0,65.0,35.4,0.488,0.383,0.821,2.9,7.3,0.9,0.1,2.5,26.0,21.6,0.605,29.5,8.3,0.172,3.3,3.1,24960001,New York Knicks,51,31,0.622,27-14,24-17,East,5,0.3325320379594537
Paolo Banchero,ORL,PF,22.0,46.0,46.0,34.4,0.452,0.32,0.727,7.5,4.8,0.8,0.6,3.0,25.9,20.0,0.551,33.6,3.5,0.106,3.5,2.2,12160800,Orlando Magic,41,41,0.5,22-19,19-22,East,15,0.2878100124991777
Devin Booker,PHO,SG,28.0,75.0,75.0,37.3,0.461,0.332,0.894,4.1,7.1,0.9,0.2,2.9,25.6,19.3,0.589,29.3,6.4,0.111,0.4,1.7,49205800,Phoenix Suns,36,46,0.439,24-17,12-29,West,21,0.13006596783306032
LaMelo Ball,CHO,PG,23.0,47.0,47.0,32.0,0.405,0.339,0.843,4.9,7.4,1.1,0.3,3.6,25.2,19.1,0.536,35.9,2.0,0.065,3.2,2.0,35147000,Charlotte Hornets,19,63,0.232,12-29,7-34,East,28,0.056903860926963895
Damian Lillard,MIL,PG,34.0,58.0,58.0,36.1,0.448,0.376,0.921,4.7,7.1,1.2,0.2,2.8,24.9,21.3,0.621,27.8,7.6,0.175,4.0,3.2,48787676,Milwaukee Bucks,48,34,0.585,27-14,20-20,East,11,0.155777045006202
