team_abbr,team_name,wins,losses,Win_PCT,home_record,road_record,conference,overall_rank
CLE,Cleveland Cavaliers,64,18,0.78,34-7,30-11,East,2
OKC,Oklahoma City Thunder,68,14,0.829,35-6,32-8,West,1
BOS,Boston Celtics,61,21,0.744,28-13,33-8,East,3
HOU,Houston Rockets,52,30,0.634,29-12,23-17,West,4
LAL,Los Angeles Lakers,50,32,0.61,31-10,19-22,West,6
NYK,New York Knicks,51,31,0.622,27-14,24-17,East,5
DEN,Denver Nuggets,50,32,0.61,26-15,24-17,West,6
IND,Indiana Pacers,50,32,0.61,29-11,20-20,East,6
MIL,Milwaukee Bucks,48,34,0.585,27-14,20-20,East,11
LAC,LA Clippers,50,32,0.61,30-11,20-21,West,6
MIN,Minnesota Timberwolves,49,33,0.598,25-16,24-17,West,10
DET,Detroit Pistons,44,38,0.537,22-19,22-19,East,14
ORL,Orlando Magic,41,41,0.5,22-19,19-22,East,15
GSW,Golden State Warriors,48,34,0.585,24-17,24-17,West,11
ATL,Atlanta Hawks,40,42,0.488,21-19,19-22,East,16
MEM,Memphis Grizzlies,48,34,0.585,26-15,22-19,West,11
SAC,Sacramento Kings,40,42,0.488,20-21,20-21,West,16
CHI,Chicago Bulls,39,43,0.476,18-23,21-20,East,18
DAL,Dallas Mavericks,39,43,0.476,22-18,17-25,West,18
MIA,Miami Heat,37,45,0.451,19-22,17-23,East,20
TOR,Toronto Raptors,30,52,0.366,18-23,12-29,East,24
PHO,Phoenix Suns,36,46,0.439,24-17,12-29,West,21
POR,Portland Trail Blazers,36,46,0.439,22-19,14-27,West,21
BRK,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25
PHI,Philadelphia 76ers,24,58,0.293,12-29,12-29,East,26
SAS,San Antonio Spurs,34,48,0.415,20-20,13-27,West,23
CHO,Charlotte Hornets,19,63,0.232,12-29,7-34,East,28
NOP,New Orleans Pelicans,21,61,0.256,14-27,7-34,West,27
WAS,Washington Wizards,18,64,0.22,8-32,10-31,East,29
UTA,Utah Jazz,17,65,0.207,10-31,7-34,West,30
