0,1,2,3
RK,NAME,TEAM,SALARY
1,"Stephen Curry, G",Golden State Warriors,"$55,761,216"
2,"Joel Embiid, C",Philadelphia 76ers,"$51,415,938"
3,"Nikola Jokic, C",Denver Nuggets,"$51,415,938"
4,"Kevin Durant, F",Phoenix Suns,"$51,179,021"
5,"Bradley Beal, G",Phoenix Suns,"$50,203,930"
6,"Kawhi Leonard, F",LA Clippers,"$49,350,000"
7,"Devin Booker, G",Phoenix Suns,"$49,205,800"
8,"Paul George, F",Philadelphia 76ers,"$49,205,800"
9,"Karl-Anthony Towns, C",New York Knicks,"$49,205,800"
10,"Jaylen Brown, G",Boston Celtics,"$49,205,800"
RK,NAME,TEAM,SALARY
11,"Jimmy Butler III, F",Golden State Warriors,"$48,798,677"
12,"Giannis Antetokounmpo, F",Milwaukee Bucks,"$48,787,676"
13,"Damian Lillard, G",Milwaukee Bucks,"$48,787,676"
14,"LeBron James, F",Los Angeles Lakers,"$48,728,845"
15,"Zach LaVine, G",Sacramento Kings,"$44,531,940"
16,"Rudy Gobert, C",Minnesota Timberwolves,"$43,827,587"
17,"Anthony Davis, F",Dallas Mavericks,"$43,219,440"
18,"Luka Doncic, G",Los Angeles Lakers,"$43,031,940"
19,"Trae Young, G",Atlanta Hawks,"$43,031,940"
20,"Fred VanVleet, G",Houston Rockets,"$42,846,615"
RK,NAME,TEAM,SALARY
21,"Lauri Markkanen, F",Utah Jazz,"$42,176,400"
22,"Anthony Edwards, G",Minnesota Timberwolves,"$42,176,400"
23,"Tyrese Haliburton, G",Indiana Pacers,"$42,176,000"
24,"Pascal Siakam, F",Indiana Pacers,"$42,176,000"
25,"Kyrie Irving, G",Dallas Mavericks,"$41,000,000"
26,"Domantas Sabonis, F",Sacramento Kings,"$40,500,000"
27,"Ja Morant, G",Memphis Grizzlies,"$36,725,670"
28,"Darius Garland, G",Cleveland Cavaliers,"$36,725,670"
29,"Zion Williamson, F",New Orleans Pelicans,"$36,725,670"
30,"OG Anunoby, F",New York Knicks,"$36,637,931"
RK,NAME,TEAM,SALARY
31,"Brandon Ingram, F",New Orleans Pelicans,"$36,016,200"
32,"Jamal Murray, G",Denver Nuggets,"$36,016,200"
33,"Shai Gilgeous-Alexander, G",Oklahoma City Thunder,"$35,859,950"
34,"Michael Porter Jr., F",Denver Nuggets,"$35,859,950"
35,"Donovan Mitchell, G",Cleveland Cavaliers,"$35,410,310"
36,"LaMelo Ball, G",Charlotte Hornets,"$35,147,000"
37,"Tyrese Maxey, G",Philadelphia 76ers,"$35,147,000"
38,"De'Aaron Fox, G",San Antonio Spurs,"$34,848,340"
39,"Bam Adebayo, C",Miami Heat,"$34,848,340"
40,"Jayson Tatum, F",Boston Celtics,"$34,848,340"
RK,NAME,TEAM,SALARY
41,"Desmond Bane, G",Memphis Grizzlies,"$34,005,250"
42,"Deandre Ayton, C",Portland Trail Blazers,"$34,005,126"
43,"James Harden, G",LA Clippers,"$33,653,846"
44,"CJ McCollum, G",New Orleans Pelicans,"$33,333,333"
45,"Julius Randle, F",Minnesota Timberwolves,"$33,073,920"
46,"Immanuel Quickley, G",Toronto Raptors,"$32,500,000"
47,"Khris Middleton, F",Washington Wizards,"$31,666,676"
48,"Isaiah Hartenstein, C",Oklahoma City Thunder,"$30,000,000"
49,"Jrue Holiday, G",Boston Celtics,"$30,000,000"
50,"Jerami Grant, F",Portland Trail Blazers,"$29,793,104"
RK,NAME,TEAM,SALARY
51,"Jordan Poole, G",Washington Wizards,"$29,651,786"
52,"Dejounte Murray, G",New Orleans Pelicans,"$29,535,801"
53,"Devin Vassell, G",San Antonio Spurs,"$29,347,826"
54,"Kristaps Porzingis, C",Boston Celtics,"$29,268,293"
