rank,player_name,position,team,team_abbr,salary
1,Stephen Curry,G,Golden State Warriors,GSW,55761216
2,Joel Embiid,C,Philadelphia 76ers,PHI,51415938
3,Nikola Jokic,C,Denver Nuggets,DEN,51415938
4,Kevin Durant,F,Phoenix Suns,PHO,51179021
5,Bradley Beal,G,Phoenix Suns,PHO,50203930
6,Kawhi Leonard,F,LA Clippers,LAC,49350000
7,Devin Booker,G,Phoenix Suns,PHO,49205800
8,Paul George,F,Philadelphia 76ers,PHI,49205800
9,Karl-Anthony Towns,C,New York Knicks,NYK,49205800
10,Jaylen Brown,G,Boston Celtics,BOS,49205800
11,Jimmy Butler III,F,Golden State Warriors,GSW,48798677
12,Giannis Antetokounmpo,F,Milwaukee Bucks,MIL,48787676
13,Damian Lillard,G,Milwaukee Bucks,MIL,48787676
14,LeBron James,F,Los Angeles Lakers,LAL,48728845
15,Zach LaVine,G,Sacramento Kings,SAC,44531940
16,Rudy Gobert,C,Minnesota Timberwolves,MIN,43827587
17,Anthony Davis,F,Dallas Mavericks,DAL,43219440
18,Luka Doncic,G,Los Angeles Lakers,LAL,43031940
19,Trae Young,G,Atlanta Hawks,ATL,43031940
20,Fred VanVleet,G,Houston Rockets,HOU,42846615
21,Lauri Markkanen,F,Utah Jazz,UTA,42176400
22,Anthony Edwards,G,Minnesota Timberwolves,MIN,42176400
23,Tyrese Haliburton,G,Indiana Pacers,IND,42176000
24,Pascal Siakam,F,Indiana Pacers,IND,42176000
25,Kyrie Irving,G,Dallas Mavericks,DAL,41000000
26,Domantas Sabonis,F,Sacramento Kings,SAC,40500000
27,Ja Morant,G,Memphis Grizzlies,MEM,36725670
28,Darius Garland,G,Cleveland Cavaliers,CLE,36725670
29,Zion Williamson,F,New Orleans Pelicans,NOP,36725670
30,OG Anunoby,F,New York Knicks,NYK,36637931
31,Brandon Ingram,F,New Orleans Pelicans,NOP,36016200
32,Jamal Murray,G,Denver Nuggets,DEN,36016200
33,Shai Gilgeous-Alexander,G,Oklahoma City Thunder,OKC,35859950
34,Michael Porter Jr.,F,Denver Nuggets,DEN,35859950
35,Donovan Mitchell,G,Cleveland Cavaliers,CLE,35410310
36,LaMelo Ball,G,Charlotte Hornets,CHO,35147000
37,Tyrese Maxey,G,Philadelphia 76ers,PHI,35147000
38,De'Aaron Fox,G,San Antonio Spurs,SAS,34848340
39,Bam Adebayo,C,Miami Heat,MIA,34848340
40,Jayson Tatum,F,Boston Celtics,BOS,34848340
41,Desmond Bane,G,Memphis Grizzlies,MEM,34005250
42,Deandre Ayton,C,Portland Trail Blazers,POR,34005126
43,James Harden,G,LA Clippers,LAC,33653846
44,CJ McCollum,G,New Orleans Pelicans,NOP,33333333
45,Julius Randle,F,Minnesota Timberwolves,MIN,33073920
46,Immanuel Quickley,G,Toronto Raptors,TOR,32500000
47,Khris Middleton,F,Washington Wizards,WAS,31666676
48,Isaiah Hartenstein,C,Oklahoma City Thunder,OKC,30000000
49,Jrue Holiday,G,Boston Celtics,BOS,30000000
50,Jerami Grant,F,Portland Trail Blazers,POR,29793104
51,Jordan Poole,G,Washington Wizards,WAS,29651786
52,Dejounte Murray,G,New Orleans Pelicans,NOP,29535801
53,Devin Vassell,G,San Antonio Spurs,SAS,29347826
54,Kristaps Porzingis,C,Boston Celtics,BOS,29268293
55,Tyler Herro,G,Miami Heat,MIA,29000000
56,Nic Claxton,C,Brooklyn Nets,BRK,27556817
57,Miles Bridges,F,Charlotte Hornets,CHO,27173913
58,John Collins,F,Utah Jazz,UTA,26580000
59,Andrew Wiggins,F,Miami Heat,MIA,26276786
60,Anfernee Simons,G,Portland Trail Blazers,POR,25892857
61,RJ Barrett,F,Toronto Raptors,TOR,25794643
62,Tobias Harris,F,Detroit Pistons,DET,25365854
63,Jaren Jackson Jr.,F,Memphis Grizzlies,MEM,25257798
64,Jonathan Isaac,F,Orlando Magic,ORL,25000000
65,Jalen Brunson,G,New York Knicks,NYK,24960001
